DATE,LAT,LON,HEADLINE,DESCRIPTION,LINK
1/21/20,47.442224,-122.30251,First Travel-related Case of 2019 Novel Coronavirus Detected in United States.,"This first instance of a 2019-nCoV infected resulted when the patient returned to the United States traveling from Wuhan, China. The patient was treated and samples were taken to be sent to the CDC.",https://www.cdc.gov/media/releases/2020/p0121-novel-coronavirus-travel-case.html
1/31/20,0,0,WHO Issues Global Health Emergency,"As case numbers quickly began to jump exponentially, the World Health Organization declared a public health emergency. This was only the 6th time in history that such an occurence has happened.",https://www.ajmc.com/view/what-were-reading-global-health-emergency-declared-jj-pay-in-pelvic-mesh-suit-ban-on-fentanyl-lookalikes
2/3/20,0,0,US Declares Public Health Emergency,"3 days after the WHO, the Trump administration declares an emergency for the United States. At this point, more than 9800 cases were confirmed worldwide.",https://www.jurist.org/news/2020/02/trump-administration-declares-coronavirus-a-public-health-emergency-imposes-quarantine/
2/25/20,0,0,CDC Says COVID-19 Is Heading toward Pandemic Status,"Pandemics have 3 main factors: illness resulting in death, sustatined person to person spread, and worldwide spread.",https://www.cdc.gov/media/releases/2020/t0225-cdc-telebriefing-covid-19.html
2/26,42.359896,-71.051103,Biogen meeting leads to COVID-19 spread in multiple states,"After a February meeting with senior executives at the company, as many as 300,000 cases of COVID-19 could be traced back to the event.",https://www.nytimes.com/2020/12/11/us/biogen-conference-covid-spread.html
3/6/20,37.795718,-122.285219,Coronavirus Outbreak on Cruise Ship,"The Grand Princess carried at least 21 positive testing people, and passengers were required to quarantine for two weeks at military bases upon arrival.",https://abc7news.com/coronavirus-princess-cruise-san-francisco-grand-placer-county-death/5988195/
3/6/20,48.416318,-122.321905,Choir practice leads to 45 COVID-19 cases and 2 deaths,"A choir rehearsal held in Washinton state became a superspreader event that resulted in 2 deaths. At this point, no restrictions had been put in place to limit gatherings or shut down schools and businesses.",https://www.latimes.com/world-nation/story/2020-03-29/coronavirus-choir-outbreak
3/11/20,0,0,WHO declared COVID-19 a Pandemic,"The organization urged ""agressive action"" for countries to fight the pandemic. Shortly after, US stocks began to plunge and several american cities banned large gatherings such as concerts.",https://apnews.com/article/52e12ca90c55b6e0c398d134a2cc286e
3/13/20,0,0,Travel Ban Declared on Non-US Citizens travelling from Europe,"This occured as President Trump declared a national emergency, unlocking funds to fight the spreading of the virus.",https://travel.state.gov/content/travel/en/News/visas-news/presidential-proclamation-coronavirus.html
3/19/20,38.576098,-121.491626,California Issues Stay at Home Order,Governer Gavin Newsom issued the order as hotspots were popping up around the state.,https://www.gov.ca.gov/2020/03/19/governor-gavin-newsom-issues-stay-at-home-order/
3/25/20,0,0,Reports Find Extended Shutdowns Can Delay Second Wave,"Making statistical models of the results of social distancing measures in Wuhan, researchers discovered that tight measures in place for longer periods of time can ""flatten the curve"" of the virus",https://www.imperial.ac.uk/media/imperial-college/medicine/sph/ide/gida-fellowships/Imperial-College-COVID19-Exiting-Social-Distancing-24-03-2020.pdf
3/26/20,0,0,US Senate Passes CARES Act,"The act would become the largest economic recovery package in history, and provided direct payments to American citizens as well as increasing unemployment insurance coverage.",https://www.aha.org/advisory/2020-03-25-senate-white-house-reach-agreement-relief-package-responding-covid-19
4/16/20,0,0,"US Politicians Propose ""Reopening  Economy""","Citing the concept of ""gating criteria"", or instituting thresholds to meet before being allowed to reopen many businesses or other indoor facilities, several political leaders in the US sought to put their constituents back to work rather as a means of economic recovery rather than further stimulus.",https://www.whitehouse.gov/openingamerica/
4/28/20,0,0,Gallup Poll finds cost as significant preventative factor in discouraging many from seeking medical care for COVID-19,"The poll found that many participants were unfamiliar with some of the primary symptoms of the disease, leading them to be less likely to seek treatment or testing in scenarios when they could very easily be infected with COVID-19.",https://news.gallup.com/poll/309224/avoid-care-likely-covid-due-cost.aspx
5/1/20,0,0,Remdesivir Wins EUA,The FDA granted an EUA after initial data showed desirable recovery rates in patients with severe COVID-19 lung complications.,https://www.fda.gov/media/137564/download
5/12/20,0,0,"Death Toll Likely Underestimated, Fauci Testifies","The director of the National Institute of Allergy and Infectious Disease testified as many states began to ease restrictions put in place to control the virus. Fauci implored that if social distancing measures are abandoned too early, ""“there is a real risk that you will trigger an outbreak you may not be able to control"".",https://www.cnn.com/politics/live-news/fauci-testifies-coronavirus-05-12-2020/index.html
5/28/20,0,0,US COVID-19 Death Toll Eclipse 100k,"The CDC asked that Americans persist in following all prevention strategies put in place, although case and death numbers continue to rise.",https://www.cdc.gov/media/releases/2020/s0528-coronavirus-death-toll.html
6/10/20,0,0,US COVID-19 Cases eclipse 2 Million,"New infections continued to rise in early June in at least 20 states. Despite this, many states which experienced spikes in cases continued to release policies and measures put in place earlier in the pandemic. Additionally, mortality due to the virus in the US was the highest in the world at this point.",https://www.npr.org/sections/coronavirus-live-updates/2020/06/10/873473805/u-s-hits-2-million-coronavirus-cases-as-many-states-see-a-surge-of-patients?utm_campaign
6/30/20,0,0,"Fauci Warns New COVID-19 Cases Could Hit 100,000 a Day","Appearing in front of the Senate's Health Education, Labor, and Pensions Committee, the doctor gave grim predicitions for what would occur soon given the caseload trajectory at the time.",https://www.statnews.com/2020/06/30/u-s-could-see-100000-new-covid-19-cases-per-day-fauci-says/
